# <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

# FAOR
FAOR,21R,RAGUL,VASUR,1
FAOR,21R,VASUR,APDAK,1
FAOR,21R,VASUR,EGMEN,1
FAOR,21R,VASUR,EXOBI,1
FAOR,21R,VASUR,GAV,1
FAOR,21R,VASUR,GEROX,1
FAOR,21R,VASUR,HGV,1
FAOR,21R,VASUR,OVALA,1
FAOR,21R,VASUR,NESAN,2
FAOR,21R,VASUR,RAGUL,1
FAOR,21R,VASUR,VASUR,1

# FACT
FACT,01,IMSOM,IMSOM,2
FACT,01,IMSOM,KODES,1
FACT,01,IMSOM,OKTED,1
FACT,01,IMSOM,TETAN,1
FACT,01,KODES,IMSOM,1
FACT,01,KODES,KODES,2
FACT,01,KODES,OKTED,1
FACT,01,KODES,TETAN,1
FACT,01,OKTED,IMSOM,1
FACT,01,OKTED,KODES,1
FACT,01,OKTED,OKTED,2
FACT,01,OKTED,TETAN,1
FACT,01,TETAN,IMSOM,1
FACT,01,TETAN,KODES,1
FACT,01,TETAN,OKTED,1
FACT,01,TETAN,TETAN,2
FACT,19,IMSOM,IMSOM,2
FACT,19,IMSOM,KODES,1
FACT,19,IMSOM,OKTED,1
FACT,19,IMSOM,TETAN,1
FACT,19,KODES,IMSOM,1
FACT,19,KODES,KODES,2
FACT,19,KODES,OKTED,1
FACT,19,KODES,TETAN,1
FACT,19,OKTED,IMSOM,1
FACT,19,OKTED,KODES,1
FACT,19,OKTED,OKTED,2
FACT,19,OKTED,TETAN,1
FACT,19,TETAN,IMSOM,1
FACT,19,TETAN,KODES,1
FACT,19,TETAN,OKTED,1
FACT,19,TETAN,TETAN,2
